-2	-2	0.143355
-2	-1.8	-0.1057348
-2	-1.6	0.05250642
-2	-1.4	0.07477028
-2	-1.2	0.3301791
-2	-1	0.4102376
-2	-0.8	0.04555214
-2	-0.6	0.1096569
-2	-0.4	0.358429
-2	-0.2	0.09389546
-2	0	0.3207401
-2	0.2	0.2571314
-2	0.4	0.6355639
-2	0.6	0.380542
-2	0.8	-0.06056946
-2	1	0.2967932
-2	1.2	0.1561202
-2	1.4	0.1191808
-2	1.6	0.159911
-2	1.8	0.2257931
-2	2	0.3607686
-1.8	-2	0.8755025
-1.8	-1.8	0.1940394
-1.8	-1.6	-0.06354853
-1.8	-1.4	-0.4178315
-1.8	-1.2	0.1341872
-1.8	-1	-0.2154813
-1.8	-0.8	-0.3005499
-1.8	-0.6	0.03991975
-1.8	-0.4	-0.07502297
-1.8	-0.2	-0.08149247
-1.8	0	-0.02718209
-1.8	0.2	0.04972625
-1.8	0.4	0.6037448
-1.8	0.6	0.07712162
-1.8	0.8	0.01066593
-1.8	1	0.5195413
-1.8	1.2	0.08678676
-1.8	1.4	0.1726083
-1.8	1.6	-0.1833701
-1.8	1.8	0.181212
-1.8	2	0.1222974
-1.6	-2	-0.1246303
-1.6	-1.8	0.2340188
-1.6	-1.6	0.3926922
-1.6	-1.4	0.1798681
-1.6	-1.2	-0.2464625
-1.6	-1	0.03854918
-1.6	-0.8	0.09346122
-1.6	-0.6	-0.1827206
-1.6	-0.4	0.2034703
-1.6	-0.2	0.02212225
-1.6	0	0.2804965
-1.6	0.2	0.09746173
-1.6	0.4	0.0710835
-1.6	0.6	0.369303
-1.6	0.8	0.3864596
-1.6	1	0.07609814
-1.6	1.2	0.1158196
-1.6	1.4	-0.1709547
-1.6	1.6	-0.01815028
-1.6	1.8	0.3757192
-1.6	2	0.04271848
-1.4	-2	0.1723431
-1.4	-1.8	0.3208527
-1.4	-1.6	0.02935348
-1.4	-1.4	0.2744877
-1.4	-1.2	-0.1362511
